date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Cherimoya,Cherries,Coconuts,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Jicama,Kale,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Lychee,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Radicchio,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangelo,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2009-10-01,33,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,45,0,0,0,0,0,38,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,38,0,0,0,0,0,25,0,33,0,0,19,0,0,0,0,0,0,0,0,12,0,29,0,0,0,0,0,31,0,0
2009-11-01,21,0,0,15,61,24,16,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,20,0,49,15,0,0,0,0,8,0,0,0,0,18,0,0,0,0,0,0,0,0,30,0,28,0,0,12,0,0,0,0,0
2009-12-01,27,0,0,0,66,21,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,46,0,25,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,41,0,21,0,0,0,0,16,0,0,13,0,17,0,0,19,0,0,0,0,0,0,14,58,25,0,30,0,0,26,0,0,16,0,0
2010-01-01,23,0,0,0,0,33,0,28,0,0,0,12,0,0,0,18,45,0,0,23,26,0,0,0,62,0,0,0,0,41,13,0,0,0,0,0,0,0,0,0,0,0,12,0,21,0,0,14,0,0,0,0,0,18,0,0,0,46,0,0,0,15,0,0,0,0,17,0,0,0,0,0,0,18,0,39,0,0,0,0,11,21,0,14,0,0
2010-02-01,19,0,0,0,62,36,16,0,0,0,0,14,61,0,0,0,49,0,0,0,0,0,0,0,0,0,0,28,0,0,0,13,37,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,39,0,20,0,0,15,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,15,0,0
2010-03-01,16,0,0,0,0,29,14,0,0,0,0,0,0,0,72,0,0,0,0,23,25,0,23,0,0,0,40,0,0,41,12,36,0,0,54,21,100,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,11,21,0,0,0,0
2010-04-01,50,0,0,0,0,29,15,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,43,0,0,0,0,0,0,13,36,0,0,23,0,0,0,14,0,0,0,45,0,27,0,0,0,0,0,37,0,0,0,35,15,0,0,0,0,16,0,15,0,0,0,0,0,0,0,0,0,13,0,23,0,0,0,0,0,0,0,15,0,0
2010-05-01,19,0,33,14,0,33,21,27,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,40,0,22,0,0,41,13,0,0,12,0,0,0,0,14,0,0,0,0,0,18,40,33,14,0,23,0,0,7,0,0,0,56,0,0,0,0,0,0,0,0,100,11,0,0,0,0,0,0,0,0,0,0
2010-06-01,20,0,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,23,0,0,0,0,0,0,14,0,0,0,0,32,0,0,0,0,0,20,0,0,15,0,0,0,0,8,0,16,0,61,0,0,0,0,0,0,100,0,0,18,0,0,0,0,0,0,0,15,0,0
2010-07-01,14,0,0,0,0,49,34,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,49,0,49,0,0,0,0,15,0,0,65,0,0,0,0,0,0,84,0,52,0,30,0,0,0,72,0,0,0,21,0,0,17,0,17,0,0,0,0,18,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,25,98,16,0,0
