date,Apple,Apricot,Avocado,Banana,Beans,Blueberries,Boniato,Broccoli,Cabbage,Carambola,Carrots,Cauliflower,Celery,Chayote,Corn,Cranberries,Cucumber,Dates,Eggplant,Feijoa,Garlic,Grapefruit,Grapes,Greens,Guava,Jicama,Kale,Lemons,Lettuce,Lychee,Malanga,Mangos,Mushrooms,Okra,Onion,Oranges,Peaches,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Quince,Radicchio,Spinach,Squash,Tomato,Watermelon,Yams
2009-07-01,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
2009-09-01,24,0,0,20,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,61,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
2009-11-01,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
2009-12-01,31,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2010-03-01,27,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,44,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
2010-06-01,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,24,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2011-01-01,0,0,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,25,19,11,0,0
2011-02-01,0,0,0,30,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,11,0,0
2011-03-01,8,0,0,19,0,0,16,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2011-05-01,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,9,0,0
2011-06-01,8,0,15,15,15,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0
2011-07-01,15,0,0,18,0,0,21,14,0,0,100,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,14,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,12,0,0,0,0,0,8,0
2011-09-01,7,0,0,36,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0,0
2011-10-01,13,0,0,14,0,0,0,0,0,7,86,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,6,22,0,0,0,0,0,0,0
2011-11-01,14,0,0,22,0,0,9,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,7,0,0,22,0,0,0,0,0
2011-12-01,7,0,0,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,0,8,0
2012-01-01,0,100,0,24,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0
2012-02-01,0,0,0,24,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,12,0,0,0,0,0,0,0
2012-03-01,0,0,0,21,12,0,17,23,0,7,83,0,100,0,0,100,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,12,0,0,0,16,0,7,7,0
2012-04-01,0,0,0,29,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,7,0
2012-05-01,0,0,0,24,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,58,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
2012-06-01,6,0,0,17,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,0,0,0,0,0,0,0,12,0,0,0
2012-07-01,12,0,0,17,0,7,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,7,0
2012-08-01,0,0,0,17,11,0,27,10,0,6,0,0,89,100,10,0,0,0,0,0,0,0,13,0,0,0,55,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0
2012-09-01,6,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,15,0,7,0,0
2012-10-01,5,0,0,13,0,0,0,10,89,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,8,0,0,0,0,0,0,0,87,0,0,0,0,0,0,15,0,5,14,0,0,0,0,0,0,0
2012-11-01,0,0,11,16,11,0,8,11,0,0,77,0,0,0,0,0,0,0,65,0,0,15,0,0,0,0,56,0,0,4,0,0,0,0,4,0,0,15,0,0,0,6,0,0,0,15,0,7,7,0
2012-12-01,0,0,0,17,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,100,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0
2013-01-01,0,0,0,16,0,0,8,0,100,7,0,0,0,0,0,0,0,0,0,0,23,0,0,0,9,0,0,100,0,4,0,0,0,0,0,0,0,0,20,0,0,6,0,0,0,0,12,7,7,0
2013-02-01,0,0,0,15,0,0,16,0,0,7,79,0,0,0,0,0,0,0,0,0,23,0,0,0,0,74,0,0,0,0,0,0,0,0,0,7,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,5,0,0,21,10,0,7,10,0,0,0,0,0,0,0,0,0,0,59,0,20,13,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2013-04-01,10,0,0,16,0,0,7,0,83,11,66,0,0,0,0,0,0,0,56,5,0,13,0,0,0,0,0,0,0,7,0,0,81,0,0,0,0,0,0,14,0,0,0,0,0,0,10,9,6,0
2013-05-01,0,0,0,31,0,0,0,9,0,5,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,46,0,0,3,0,0,0,0,0,5,0,12,0,0,0,5,8,0,0,0,9,5,0,0
2013-06-01,5,0,9,23,0,0,7,9,0,8,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,5,0,0,0,0,9,0,11,0
2013-07-01,19,0,0,28,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,23,0,13,0,5,0,0,0,0,0,0,5,0
2013-08-01,9,60,0,26,9,0,6,8,0,5,0,0,0,82,0,74,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,23,0,0,0,0
2013-09-01,4,0,0,40,8,5,6,0,75,0,0,0,0,0,0,0,0,0,51,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,11,0,0,0,0
2013-10-01,4,58,9,23,0,0,8,8,0,0,0,0,0,78,0,0,0,0,49,0,33,0,0,0,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,8,0,14,0,0,5,0,0
2013-11-01,7,0,0,32,25,5,6,8,0,0,0,0,0,0,0,0,0,0,51,5,0,0,0,0,0,0,45,0,0,0,0,69,74,0,0,0,100,12,0,0,0,0,8,0,0,12,0,5,5,0
2013-12-01,16,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,10,0,0,0
2014-01-01,0,0,0,27,0,0,0,9,0,0,0,0,78,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,6,11,0
2014-02-01,0,0,0,20,9,0,13,0,83,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,6,6,0
2014-03-01,9,0,0,22,8,0,6,8,0,0,0,100,0,0,0,0,0,0,0,0,17,0,0,0,0,0,43,0,0,0,0,0,0,0,3,0,0,0,0,13,0,9,8,0,0,0,0,5,0,0
2014-04-01,7,0,0,33,0,0,9,8,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,56,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,5,0,0
2014-05-01,8,0,0,25,8,0,6,8,69,0,0,0,66,0,0,0,0,0,0,0,0,0,10,51,0,0,40,0,0,3,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,8,5,0,0
