date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Jerusalem Artichoke,Jicama,Kale,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Watercress,Watermelon,Yams,Cassava,Zucchini Squash
2008-08-01,0,0,46,0,15,32,0,0,0,0,0,41,21,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,34,0,0,0,0,32,29,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,9,0,0,0,0,0,0,0,0,0,0,0,76,28,0,28,0,0,0,27,0,0,0,49,0,0,0
2008-09-01,16,0,44,0,14,27,0,11,32,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,30,41,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,31,36,0,0,0,0,0,0,0,15,0,30,0,37,31,12,0,0,0,30,0,0,0,0,0,0,27,0,16,0,0,0,0,0,52,0,0,0,31,0,0,0
2008-10-01,38,0,82,0,13,34,0,20,30,0,0,0,23,0,0,55,0,0,39,0,0,0,0,0,0,0,0,0,50,0,0,0,0,33,25,0,0,0,0,0,0,38,0,59,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,29,67,0,0,0,0,0,0,0,14,0,28,0,23,0,34,0,0,0,0,0,34,0,0,0,0,0,0,12,20,0,0,0,0,24,0,0,0,29,0,0,0
2008-11-01,32,35,63,0,13,41,0,11,0,0,67,37,21,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,34,26,0,0,0,0,0,29,28,0,61,0,0,0,0,0,0,25,0,0,0,18,0,0,0,29,0,0,0,35,0,60,0,0,0,31,0,0,0,0,0,24,0,8,0,0,0,29,0,35,0,0,96,0,26,0,9,0,25,0,0,0,0,55,0,0,0,0,0,0
2008-12-01,16,0,43,0,27,18,0,11,0,0,0,0,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,63,0,99,0,0,0,43,0,0,0,89,0,0,0,0,0,36,0,0,0,0,36,0,0,15,0,0,0,25,31,0,0,34,0,0,0,0,0,0,0,0,0,48,5,0,0,0,0,0,26,0,0,0,0,86,0,0
2009-01-01,21,0,0,0,12,23,0,13,0,0,0,0,19,61,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,27,0,32,0,31,0,0,0,26,0,0,0,25,100,0,0,0,0,3,0,35,22,0,0,0,0,0,0,0,52,0,0,0,47,0,0,0,0,0,84,0,0,0,0,0,16,0,11,0,30,0,0,0,0,0,0,0,0,0,41,6,19,22,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,16,0,42,0,26,26,0,10,30,0,0,36,21,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,28,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,28,0,0,0,0,0,59,0,0,0,0,0,14,0,0,0,0,0,8,0,32,0,29,0,0,0,0,0,0,0,0,6,21,0,0,0,0,25,0,0,0,22,0,0,0
2009-03-01,27,0,0,48,11,35,31,0,26,0,57,0,18,59,31,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,25,22,0,25,29,0,0,0,0,0,2,0,0,22,0,35,0,0,0,0,0,0,0,0,26,0,0,0,30,0,0,0,0,0,0,0,54,41,0,7,0,0,0,0,0,0,0,0,0,0,22,39,9,0,21,0,0,0,43,0,0,0,0,0,58,0
2009-04-01,24,0,0,55,27,32,0,0,0,0,66,0,16,68,0,56,0,0,0,0,0,29,0,0,0,0,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,35,0,35,31,97,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,56,0,0
2009-05-01,14,0,39,51,0,32,0,10,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,24,0,0,26,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,27,0,0,55,0,0,0,0,0,13,0,27,0,17,0,0,0,0,0,27,0,0,0,0,0,0,24,0,10,19,0,0,0,0,45,0,0,0,41,52,0,0
2009-06-01,14,0,38,0,30,45,0,10,0,0,0,0,6,0,33,0,0,0,38,0,0,27,0,0,0,29,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,23,0,0,0,17,0,0,0,26,0,28,27,32,0,0,32,24,0,0,0,0,0,27,0,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,23,0,0,0,23,0,0,0,41,51,0,0
2009-07-01,0,0,45,0,28,12,0,17,0,0,0,0,11,0,0,61,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,61,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,32,0,17,0,35,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,26,0,0,0,31,0,0,0
2009-08-01,36,0,0,0,0,32,0,15,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,23,0,0,0,29,31,0,0,0,0,0,0,27,31,0,0,0,0,0,0,0,36,23,0,0,0,17,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,27,0,36,0,42,27,7,0,0,0,0,0,0,0,0,0,0,0,64,38,19,0,0,0,0,46,0,0,0,0,0,0,0
2009-09-01,21,0,0,0,35,35,0,9,0,0,0,0,13,0,32,100,0,37,0,0,0,26,0,0,36,0,0,0,0,0,0,0,0,30,23,0,0,25,0,0,0,29,0,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,0,0,26,0,0,0,0,0,0,0,57,13,0,38,0,39,0,27,0,29,0,25,0,0,0,0,0,0,0,0,27,0,0,100,0,0,29,0,0,0,0,0,0,0
