date,Apple,Asparagus,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Coconuts,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lettuce,Lychee,Mushrooms,Okra,Onion,Oranges,Peaches,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Raisins,Spinach,Squash,Sweet Potato,Tomato,Watermelon,Cassava
2010-11-01,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0
2011-02-01,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,0,0,10,0,0
2011-03-01,0,0,0,12,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,15,0,18,0,0,0,0,0,8,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
2011-05-01,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,20,0,0,0,100,0,0,34,0,0,0,17,0,0,0,0,0,8,20,100
2011-06-01,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,8,0,100,0,9,22,0
2011-08-01,9,0,6,11,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,22,0,0,0,32,0,0,0,0,0,43,0,0,0,60,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
2011-10-01,9,0,7,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,15,0,0,11,0,0,0,0,0,20,0
2011-11-01,12,0,0,12,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,21,0,0,0,0,0,100,0,0,0,0,18,0,0,0,95,0,8,0,0
2011-12-01,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,35,0,0,0,0,0,0,0,99,0,0,23,0,17,0,0,0,0,0,0,20,0
2012-03-01,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,30,0,0,6,0,0,0,100,0,0,0,0,0,0,0,0,0,80,0,0,17,0
2012-04-01,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,16,0,0,0,0,0,7,39,0
2012-05-01,0,0,5,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,17,0,0,100,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,12,0,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,7,0,0,91,0,0,0,0,27,0,0,0,0,27,0,100,0,0,0
2012-07-01,7,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,84,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,7,17,0
2012-08-01,0,0,5,14,22,0,22,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,27,0,12,0,0,0,0,0,0,0,6,0,0
2012-09-01,10,0,0,18,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,32,0
2012-10-01,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,6,0,0
2012-11-01,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,33,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,0,0,0,0,0,0
2012-12-01,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,10,0,0,0,0,0,0,0
2013-01-01,7,0,0,9,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,6,15,0
2013-02-01,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,71,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,8,0,21,0,0,0,0,0
2013-03-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,56,0,5,24,59
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0,12,0
2013-05-01,5,0,0,6,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,10,7,0,0,0,0,4,12,0
2013-06-01,5,0,0,20,16,81,0,0,0,0,0,0,0,26,0,21,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,17,0,0,5,0,0
2013-07-01,5,100,0,13,0,0,15,0,10,0,0,0,0,0,0,20,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,0,0,0,0,57
2013-08-01,8,0,0,6,15,0,0,18,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2013-09-01,7,0,0,13,15,0,30,0,0,0,0,0,0,24,0,20,0,17,100,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,61,4,11,0
2013-10-01,9,0,0,9,14,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,18,0,0,0,14,0,51,0,0,0,0,8,0,0,12,0,15,0,0,0,10,0
2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,10,0,0,0,52,0,0,11,0
2013-12-01,0,0,4,0,0,0,16,0,0,0,0,0,100,0,0,21,0,0,0,0,0,20,0,0,0,0,0,0,68,56,0,0,9,0,0,0,0,0,0,0,0,12,0
2014-01-01,5,0,0,6,29,0,0,0,0,0,0,100,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,6,0,0,0,0,4,0,0
2014-02-01,5,0,4,6,0,0,0,18,0,100,0,0,0,25,0,20,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,62,0,22,0
2014-03-01,4,0,6,10,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,5,3,0,0,48,5,9,0
2014-04-01,8,0,0,11,0,64,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,10,0
2014-05-01,8,0,0,8,12,0,0,14,0,81,0,0,0,20,0,0,0,14,0,44,0,0,0,9,0,0,0,0,0,0,15,0,0,0,8,0,3,0,0,0,0,9,0
2014-06-01,6,0,0,6,14,0,14,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0,10,0,0,60,0,0,0,17,0,7,0,8,11,0,0,0,0,0,10,0
2014-07-01,10,0,3,8,12,0,0,0,8,0,0,0,0,20,0,32,0,0,0,43,0,0,0,9,0,0,0,0,0,43,0,0,7,0,8,0,0,0,0,0,14,18,0
2014-08-01,5,0,0,0,17,57,11,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,8,0,0,0,42,0,0,14,0,0,0,7,0,0,12,0,0,7,9,0
2014-09-01,0,0,0,8,0,0,22,0,0,0,0,0,0,0,0,14,0,0,0,39,0,0,72,8,0,0,0,0,0,0,14,0,9,0,14,0,0,12,0,44,3,0,0
2014-10-01,7,0,0,9,0,0,0,12,0,0,0,73,0,18,0,14,0,12,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,7,5,3,0,0,43,3,12,0
2014-11-01,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,12,9,0,0,0,45,3,0,0
2014-12-01,7,0,3,10,11,0,12,0,0,0,0,0,0,38,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,41,0,0,6,6,0,0,0,13,0,0,7,13,0
2015-01-01,4,0,0,5,11,0,0,0,0,73,0,0,70,0,0,0,0,13,0,40,0,14,0,16,0,0,0,0,48,0,0,0,6,0,7,5,3,12,0,0,3,12,0
2015-02-01,4,0,0,5,0,55,11,0,0,74,0,0,0,0,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,0,0,9,6,0,14,0,0,0,0,0,6,8,0
2015-03-01,8,0,2,8,9,0,0,0,0,0,0,0,0,0,0,0,0,11,63,0,0,24,0,0,0,0,0,0,41,0,12,0,5,0,0,8,0,0,0,0,0,12,0
2015-04-01,5,0,0,7,0,0,0,0,0,0,0,0,0,16,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,3,0,0,0,3,8,37
2015-05-01,3,0,2,4,9,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,5,6,0,0,10,0,0,4,7,0
2015-06-01,5,0,0,8,10,0,0,12,6,0,100,0,0,0,0,13,0,0,0,0,0,13,0,0,3,10,0,0,0,0,0,8,5,0,0,0,0,0,0,0,3,0,37
2015-07-01,9,0,0,6,9,0,0,0,0,0,0,0,0,15,0,12,0,0,0,33,0,0,0,0,0,10,0,0,0,0,0,8,7,0,0,4,0,10,0,38,3,14,0
2015-08-01,0,0,2,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,7,0
2015-09-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,5,0,0,4,0,10,0,38,3,7,0
2015-10-01,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,12,64,7,0,0,0,0,0,0,12,0,5,0,6,0,2,10,0,39,6,21,0
2015-11-01,3,0,0,9,11,0,0,0,0,0,0,0,0,17,14,14,16,0,0,0,0,13,0,15,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,43,3,0,0
2015-12-01,4,0,3,5,0,0,0,0,0,0,0,0,71,18,0,0,0,0,0,0,0,15,0,8,0,0,0,0,48,0,0,0,18,0,0,5,0,12,0,0,0,0,0
2016-01-01,3,0,2,4,10,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,13,0,7,3,0,0,73,0,0,0,0,5,0,8,0,0,0,0,0,3,7,0
2016-02-01,0,0,3,7,11,0,0,12,0,0,0,0,0,17,0,0,0,12,0,0,0,14,0,0,0,0,0,0,0,0,13,0,6,0,10,0,0,0,0,0,5,12,0
2016-03-01,0,0,2,8,0,0,9,0,0,0,0,0,0,15,0,0,0,0,0,32,0,23,0,7,0,0,0,33,0,0,23,0,0,0,0,0,0,10,0,0,0,7,0
2016-04-01,5,0,0,4,9,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,2,0,0,33,0,0,11,0,5,5,6,4,0,0,0,0,0,7,0
2016-05-01,5,55,0,9,17,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,9,0,4,0,0,0,34,2,6,0
2016-06-01,4,58,2,4,0,45,0,0,6,0,0,0,58,44,0,12,0,0,0,32,0,23,0,0,5,9,0,33,38,0,0,0,5,0,6,4,2,10,31,0,3,7,0
2016-07-01,4,58,0,5,0,0,9,0,0,0,0,0,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,7,0,5,6,0,0,10,0,0,5,7,0
2016-08-01,6,0,0,11,0,45,0,0,0,0,0,0,0,14,0,12,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,7,10,0,8,0,0,9,0,0,3,0,0
2016-09-01,6,0,0,8,0,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7,2,0,0,34,0,0,0,0,5,0,6,4,0,0,0,0,3,7,0
2016-10-01,3,0,0,8,9,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,55,12,0,0,0,9,0,0,0,0,0,0,10,5,0,4,3,0,0,0,3,7,0
2016-11-01,5,0,0,11,10,0,0,0,0,0,0,0,0,15,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,12,0,7,5,6,4,2,10,0,0,0,7,0
2016-12-01,3,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,59,25,0,0,0,0,0,35,0,0,0,0,5,0,0,4,2,0,0,39,6,11,0
2017-01-01,6,0,2,6,0,0,0,0,0,0,0,65,0,15,0,0,0,11,63,34,0,24,0,0,0,0,0,0,41,0,0,0,9,0,6,0,0,10,0,38,3,7,0
