date,Apple,Apricot,Asparagus,Avocado,Banana,Beans,Beets,Bitter Melon,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lemons,Lettuce,Mushrooms,Napa,Okra,Onion,Oranges,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Prunes,Pumpkin,Raisins,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangerines,Tomato,Watermelon,Yams,Cassava
2011-05-01,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,6,12,0,0,13,18,22,0,0,0,0,0,0,37,0,0,0,0,0,0,100,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,20,0,0
2011-07-01,8,0,0,0,4,22,0,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,20,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0
2011-08-01,7,0,0,0,0,19,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,0,0,0,0,0,100,0,24,0,9,0,0,0,12,0,0,37,0,0,0,0,0,17,0,0
2011-09-01,0,0,0,0,8,0,0,0,11,0,0,0,33,0,0,69,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,13,0,0,0,0,38,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2011-10-01,0,0,0,7,5,8,0,0,0,0,16,0,0,0,0,29,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,9,0,8,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0
2011-11-01,19,0,0,7,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,14,0,16,0,15,0,62,0,0,0,0,15,0,0
2011-12-01,0,0,0,7,6,16,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,11,0,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0
2012-01-01,0,0,100,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,27,0,0,0,6,0,0,0
2012-02-01,5,0,0,0,8,11,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,16,0,64,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,0
